Specie;Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;status;X_10;Y_10;X;Y;alt;dia_x;dia_y;diam;OBS
;1;A;0;0;D4;10;10;no tag;Jovem ;1;1;11;11;11.1;7.6;7.3;174.2072;Menor classe de diametro = 5mm
;1;B;50;0;A5;40;40;no tag;Reprodutivo;0.5;7;90.5;47;17.9;5.6;8.5;149.464;Todas medidas de tamanhho em mm
;1;B;50;0;A5;40;40;no tag;Jovem ;4;5;94;45;12.6;5;5;78.5;
;1;B;50;0;A5;40;40;no tag;Jovem ;4;5;94;45;8.2;10.2;20.5;656.574;
;1;B;50;0;A5;40;40;2010;Reprodutivo;6;3;96;43;29.2;51.2;37.2;5980.5696;
;1;B;50;0;B1;0;30;2006;Reprodutivo;6;4;56;34;45;43.1;36.9;4993.8246;
;1;B;50;0;C2;10;20;no tag;Reprodutivo;3;7;63;27;18;6.7;5.5;115.709;
;1;B;50;0;C2;10;20;no tag;Jovem ;5;7;65;27;18;7.1;6.7;149.3698;
;1;B;50;0;C2;10;20;no tag;Jovem ;2;8;62;28;18;6.5;6.5;132.665;
;1;B;50;0;C2;10;20;no tag;Jovem ;2;8;62;28;18;6.5;6.5;132.665;
;1;B;50;0;D3;20;10;2003;Jovem ;4;10;74;20;20.4;26.5;19.9;1655.879;
;1;B;50;0;D4;30;10;2000;Reprodutivo;6;4;86;14;25.6;21.4;35.9;2412.3364;
;1;B;50;0;D4;30;10;2001;Esqueleto;0;9;80;19;18.1;39.7;32.3;4026.4534;
;1;C;50;50;A3;0;20;no tag;Reprodutivo;3.5;7;53.5;77;7.7;5;5;78.5;
;1;C;50;50;C1;20;0;2009;Reprodutivo;5;2.5;75;52.5;24.3;17.1;20;1073.88;
;1;C;50;50;C2;20;10;no tag;Reprodutivo;3;9;73;69;27.4;27.2;37;3160.096;
;1;D;50;50;D5;40;10;2012;Esqueleto;9;6;99;66;51.5;28.4;18.2;1623.0032;
;1;B;50;0;E2;10;0;no tag;Jovem ;4;1.5;64;1.5;24.9;23.2;17.3;1260.2704;
;1;B;50;0;D4;30;10;no tag;Jovem ;3;5.5;83;15.5;7.5;5;5;78.5;
;1;D;50;50;E5;40;0;no tag;Jovem ;9.5;5;99.5;55;15;7.7;9;217.602;
;2;A;0;0;A2;40;30;no tag;Reprodutivo;1.5;5.5;41.5;35.5;21.8;5;5;78.5;
;2;A;0;0;A3;40;20;2030;Reprodutivo;9;9.5;49;29.5;37.4;27.8;24.6;2147.3832;
;2;A;0;0;A3;40;20;2031;Esqueleto;6;6;46;26;71.3;53.5;74.9;12582.451;
;2;A;0;0;A3;40;20;no tag;Jovem ;4;4.5;44;24.5;17.6;5;5;78.5;
;2;A;0;0;A3;40;20;no tag;Reprodutivo;3;8;43;28;32.7;15.1;10.5;497.847;
;2;A;0;0;A4;40;10;2023;Reprodutivo;9;5;49;15;45.3;30.9;59.7;5792.4522;
;2;A;0;0;A4;40;10;2032;Esqueleto;5;2;45;12;55.6;32.9;35;3615.71;
;2;A;0;0;A4;40;10;2021;Esqueleto;2;7.5;42;17.5;29.2;33.1;32.2;3346.6748;
;2;A;0;0;A4;40;10;no tag;Jovem ;1;4;41;14;7.6;5;5;78.5;
;2;A;0;0;A4;40;10;no tag;Morreu;8.5;2;48.5;12;na;na;na;#VALOR!;dead
;2;A;0;0;A5;40;0;no tag;Jovem ;7;4.5;47;4.5;5.9;5;5;78.5;
;2;A;0;0;A5;40;0;no tag;Reprodutivo;7;4.5;47;4.5;5.9;5;5;78.5;
;2;A;0;0;B1;30;40;no tag;Esqueleto;3;4;33;44;na;na;na;#VALOR!;
