Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;Col_data;Status_23;X_10;Y_10;X;Y;alt;dia_x;dia_y;alt24;dia_x24;dia_y24;Status24;Status_combined;Status_combined2;;Obs24;Obs23
1;A;0;0;D4;10;10;no tag;2023;Immature;2;9;12;19;11.1;7.6;7.3;24;14;9;Immature;I_live;old;;Anteriormente registrado como x=1 e y=1;Menor classe de diametro = 5mm
1;B;50;0;A5;40;40;no tag;2023;Reprodutivo;0.5;7;90.5;47;17.9;5.6;8.5;17;5;8;Reprodutivo;R_live;old;;Status não registrado. Provavelmente Immature;Todas medidas de tamanhho em mm
1;B;50;0;A5;40;40;no tag;2023;Immature;4;5;94;45;12.6;5;5;;;;dead;I_dead;old;;;
1;B;50;0;A5;40;40;no tag;2023;Immature;4;5;94;45;8.2;10.2;20.5;;;;dead;I_dead;old;;;
1;B;50;0;A5;40;40;2010;2022;Reprodutivo;6;3;96;43;29.2;51.2;37.2;24;15;23;dead;R_dead;old;;;
1;B;50;0;B1;0;30;2006;2022;Reprodutivo;6;4;56;34;45;43.1;36.9;43;32;26;dead;R_dead;old;;;
1;B;50;0;C2;10;20;no tag;2023;Reprodutivo;3;7;63;27;18;6.7;5.5;17;7;6;Immature;R_live;old;;;
1;B;50;0;C2;10;20;no tag;2023;Immature;5;7;65;27;18;7.1;6.7;16;5;5;dead;I_dead;old;;;
1;B;50;0;C2;10;20;no tag;2023;Immature;2;8;62;28;18;6.5;6.5;;;;dead;I_dead;old;;;
1;B;50;0;C2;10;20;no tag;2023;Immature;2;8;62;28;18;6.5;6.5;5;5;5;Immature;I_live;old;;;
1;B;50;0;D3;20;10;2003;2022;immature;4;10;74;20;20.4;26.5;19.9;;;;dead;I_dead;old;;Tirou tag;
1;B;50;0;D4;30;10;2000;2022;Reprodutivo;6;4;86;14;25.6;21.4;35.9;;;;dead;R_dead;old;;Tirou tag;
1;B;50;0;D4;30;10;2001;2022;dead;0;9;80;19;18.1;39.7;32.3;;;;dead;new;new;;Tirou tag;
1;C;0;50;A3;0;20;no tag;2022;Reprodutivo;3.5;7;3.5;77;7.7;5;5;;;;dead;R_dead;old;;;
1;C;0;50;C1;20;0;2009;2022;Reprodutivo;23;2.5;43;52.5;24.3;17.1;20;;;;dead;R_dead;old;;Tirou tag;
1;C;0;50;C2;20;10;no tag;2022;Reprodutivo;3;9;23;69;27.4;27.2;37;28;16;28;dead;R_dead;old;;;
1;D;50;50;D5;40;10;2012;2022;dead;9;6;99;66;51.5;Cara;18.2;20;14;10;Reprodutivo;new;new;;;
1;B;50;0;E2;10;0;no tag;2023;Immature;2;7;62;7;24.9;23.2;17.3;32;23;20;Reprodutivo;I_live;old;;Anteriormente registrado como x=4 e y=1.5;
1;B;50;0;D4;30;10;no tag;2023;Immature;3;5.5;83;15.5;7.5;5;5;;;;dead;I_dead;old;;;
1;D;50;50;E5;40;0;no tag;2023;Immature;9.5;5;99.5;55;15;7.7;9;24;8;7;Immature;I_live;old;;Status não registrado. Provavelmente Immature;
1;B;50;0;A5;40;40;No tag;2024;new;4;4.5;94;44.5;;5;;5;5;5;Immature;new;new;;;
1;B;50;0;A5;40;40;no tag;2024;new;4;5.5;94;45.5;;5;;5;5;5;Immature;new;new;;;
1;B;50;0;A5;40;40;no tag;2024;new;4.5;6;94.5;46;;5;;5;5;5;Immature;new;new;;;
1;D;50;50;D5;0;30;no tag;2024;new;8;6;58;86;;5;;17;5;5;Immature;new;new;;;
2;A;0;0;A2;40;30;no tag;2022;Reprodutivo;1.5;5.5;41.5;35.5;21.8;20;5;;;;dead;R_dead;old;;;
2;A;0;0;A2;40;30;no tag;2023;Reprodutivo;6.5;8;46.5;38;17.7;5;5.5;22;5;14;Reprodutivo;R_live;old;;;
2;A;0;0;A3;40;20;2030;2022;Reprodutivo;9;9.5;49;29.5;37.4;5;24.6;;;;dead;R_dead;old;;;
2;A;0;0;A3;40;20;2031;2022;dead;6;6;46;26;71.3;5;74.9;;;;dead;new;new;;Status não registrado. Provavelmente Immature;
2;A;0;0;A3;40;20;no tag;2023;Immature;4;4.5;44;24.5;17.6;5;5;;;;dead;I_dead;old;;;
2;A;0;0;A3;40;10;no tag;2023;Reprodutivo;3;8;43;18;32.7;5;10.5;;;;dead;R_dead;old;;;
2;A;0;0;A4;40;10;2023;2022;Reprodutivo;9;5;49;15;45.3;5;59.7;30;23;35;dead;R_dead;old;;;
2;A;0;0;A4;40;10;2032;2022;dead;5;2;45;12;55.6;5;35;;;;dead;new;new;;Tag retirada;
2;A;0;0;A4;40;10;2021;2022;dead;2;7.5;42;17.5;29.2;5;32.2;;;;dead;new;new;;Tag retirada;
2;A;0;0;A4;40;10;no tag;2023;Immature;1;4;41;14;7.6;5;5;;;;dead;I_dead;old;;;
2;A;0;0;A4;40;10;no tag;2023;Immature;1;4;41;14;7.6;5;5;;;;dead;I_dead;old;;;
2;A;0;0;A4;40;10;no tag;2023;Immature;3;5.5;43;15.5;5;5;5;;;;dead;I_dead;old;;;
2;A;0;0;A5;40;0;no tag;2023;Immature;7;4.5;47;4.5;5.9;5;5;;;;dead;I_dead;old;;;
2;A;0;0;A5;40;0;no tag;2023;Reprodutivo;7;4.5;47;4.5;5.9;5;5;;;;dead;R_dead;old;;;
