Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG;Col_data;status;X_10;Y_10;X_q;Y_q;X;Y;alt;dia_x;dia_y;status_24;OBS
1;B;50;0;A5;40;40;2010;2022;Reprodutivo;6;3;46;43;96;43;29.2;51.2;37.2;Reprodutivo;
1;B;50;0;B1;0;30;2006;2022;Reprodutivo;6;4;6;34;56;34;45;43.1;36.9;Reprodutivo;
2;A;0;0;A4;40;10;2023;2022;Reprodutivo;9;5;49;15;49;15;45.3;30.9;59.7;Reprodutivo;
2;A;0;0;B3;30;20;no tag;2023;Reprodutivo;4.5;3;34.5;23;34.5;23;5;5;55;Reprodutivo;
2;C;0;50;C2;20;10;2037;2022;Reprodutivo;5;7;25;17;25;67;30.2;41.4;38.4;Reprodutivo;
3;B;50;0;E4;30;0;2049;2022;Reprodutivo;7;1.5;37;1.5;87;1.5;34.2;98.1;85.9;Reprodutivo;
3;D;50;50;E4;10;40;2059;2022;Reprodutivo;2;6;12;46;62;96;40.5;42.9;37.1;Reprodutivo;
3;D;50;50;E5;0;40;2060;2022;Reprodutivo;5;5;5;45;55;95;32.8;77.8;115.7;Reprodutivo;
4;D;50;50;A4;10;0;2092;2022;Reprodutivo;5;5;15;5;65;55;14.5;37.2;42;Reprodutivo;
4;D;50;50;C3;20;20;2087;2022;Reprodutivo;10;9;30;29;80;79;30.5;41.8;41;Reprodutivo;
4;D;50;50;D1;40;30;2085;2022;Reprodutivo;6.5;7;46.5;37;96.5;87;32.4;37.6;40.3;Reprodutivo;
4;D;50;50;D3;20;30;2086;2022;Reprodutivo;5;7.5;25;37.5;75;87.5;48.8;112.4;121.6;Reprodutivo;
4;D;50;50;E1;40;40;2084;2022;Reprodutivo;0;3;40;43;90;93;31;40.1;70;Reprodutivo;
4;D;50;50;E5;0;40;2088;2022;Reprodutivo;8;5;8;45;58;95;32.9;32.4;51.9;Reprodutivo;
5;A;0;0;A3;40;20;2116;2022;Reprodutivo;8;4;48;24;48;24;526.5;35.5;43.8;Reprodutivo;
5;A;0;0;B5;30;0;2110;2022;Reprodutivo;6;0.5;36;0.5;36;0.5;37;65.7;57.7;Reprodutivo;
5;A;0;0;B5;30;0;2113/2114;2022;Reprodutivo;2;5;32;5;32;5;37.5;62;29.1;Reprodutivo;
5;A;0;0;C5;20;0;2108;2022;Reprodutivo;8;1;28;1;28;1;43.2;37;73.4;Reprodutivo;
5;C;0;50;A2;0;10;2129;2022;Reprodutivo;7;10;7;20;7;70;47;64.7;79.5;Reprodutivo;
5;C;0;50;C5;20;40;2125;2022;Reprodutivo;6.5;5.5;26.5;45.5;26.5;95.5;40.9;66.8;59.5;Reprodutivo;
5;D;50;50;D3;20;30;2134;2022;Reprodutivo;5;5.5;25;35.5;75;85.5;65.2;89.3;89.8;Reprodutivo;
6;C;0;50;B4;10;30;2150;2022;Reprodutivo;5;10;15;40;15;90;35.8;44.2;50;Reprodutivo;
6;D;50;50;C2;30;20;2152;2022;Reprodutivo;7;8.5;37;28.5;87;78.5;24.2;53.2;51.2;Reprodutivo;
7;C;0;50;A2;0;30;2172;2022;Reprodutivo;0;8;0;38;0;88;48.9;46.02;39.3;Reprodutivo;
7;D;50;50;A1;40;0;2175;2022;Reprodutivo;5;0;45;0;95;50;49.3;45.4;47.3;Reprodutivo;
8;A;0;0;D3;10;20;2178;2022;Reprodutivo;7;0.5;17;20.5;17;20.5;37.8;63.4;59.2;Reprodutivo;
8;A;0;0;E2;0;30;2183;2022;Reprodutivo;10;0.5;10;30.5;10;30.5;31.9;64.4;58.8;Reprodutivo;borda
8;B;50;0;B5;40;30;2185;2022;Reprodutivo;5.5;7.5;45.5;37.5;95.5;37.5;42.7;108.6;16.8;Reprodutivo;
8;B;50;0;C3;20;20;2186;2022;Reprodutivo;10;7;30;27;80;27;38.3;96.1;75.1;Reprodutivo;entre c3 e d3
9;B;50;0;C2;10;20;2202;2022;Reprodutivo;9.5;0.5;19.5;20.5;69.5;20.5;44.8;68.3;71.5;Reprodutivo;
9;C;0;50;B1;10;0;2208;2022;Reprodutivo;10;6;20;6;20;56;32.8;53.7;58.9;Reprodutivo;
9;D;50;50;A2;30;0;2218;2022;Reprodutivo;5;1;35;1;85;51;27.5;40.9;49.7;Reprodutivo;
9;D;50;50;A2;30;0;2217;2022;Reprodutivo;8;6.5;38;6.5;88;56.5;28.5;39.7;47.3;Reprodutivo;
9;D;50;50;A3;20;0;2216;2022;Reprodutivo;7;4.5;27;4.5;77;54.5;33.3;30.1;42.7;Reprodutivo;
9;D;50;50;E5;0;40;2213;2022;Reprodutivo;10;2;10;42;60;92;29.4;38.3;41.6;Reprodutivo;
10;D;50;50;E5 ;0;40;2237;2022;Reprodutivo;3;6;3;46;53;96;31.8;52;24.7;Reprodutivo;
10;D;50;50;D5;0;30;2236;2022;Reprodutivo;5.5;10.5;5.5;40.5;55.5;90.5;38.1;50.7;47.5;Reprodutivo;
1;B;50;0;A5;40;40;No tag;2024;new;4;4.5;44;44.5;94;44.5;5;5;5;Jovem;
1;B;50;0;A5;40;40;no tag;2024;new;4;5.5;44;45.5;94;45.5;5;5;5;Jovem;
1;B;50;0;A5;40;40;no tag;2024;new;4.5;6;44.5;46;94.5;46;5;5;5;Jovem;
1;D;50;50;D5;40;10;no tag;2024;new;8;6;48;16;98;66;17;5;5;Jovem;
2;A;0;0;E1;0;40;no tag;2024;new;4;9;4;49;4;49;5;5;5;Jovem;
2;A;0;0;B5;30;0;no tag;2024;new;3;2;33;2;33;2;5;5;5;Reprodutivo;
2;A;0;0;A5;40;0;No tag;2024;new;3;5;43;5;43;5;5;5;5;Jovem;
2;A;0;0;A4;40;10;No tag;2024;new;3.5;0.5;43.5;10.5;43.5;10.5;5;5;5;Reprodutivo;
2;A;0;0;A3;40;20;no tag;2024;new;3;1;43;21;43;21;5;5;5;Jovem;
2;A;0;0;A3;40;20;no tag;2024;new;2;6;42;26;42;26;5;5;5;Jovem;
2;A;0;0;A2;40;30;no tag;2024;new;2;5.5;42;35.5;42;35.5;5;5;5;Jovem;
2;A;0;0;A2;40;30;no tag;2024;new;2;5.5;42;35.5;42;35.5;5;5;5;Jovem;
2;A;0;0;A2;40;30;no tag;2024;new;2;5.5;42;35.5;42;35.5;5;5;5;Jovem;
2;A;0;0;A2;40;30;no tag;2024;new;4;7;44;37;44;37;5;5;5;Jovem;
2;A;0;0;A2;40;30;no tag;2024;new;3;8;43;38;43;38;5;5;5;Jovem;
2;A;0;0;B1;30;40;no tag;2024;new;2;3.5;32;43.5;32;43.5;5;5;5;Jovem;
2;A;0;0;B1;30;40;no tag;2024;new;3.5;7;33.5;47;33.5;47;5;5;5;Jovem;
2;A;0;0;B2;30;30;no tag;2024;new;5.5;1;35.5;31;35.5;31;5;5;5;Jovem;
2;A;0;0;B2;30;30;no tag;2024;new;8;3;38;33;38;33;5;12;13;Reprodutivo;
2;A;0;0;B2;30;30;no tag;2024;new;6;3;36;33;36;33;5;5;5;Jovem;
2;A;0;0;B2;30;30;no tag;2024;new;6;5;36;35;36;35;5;5;10;Reprodutivo;
2;A;0;0;B2;30;30;no tag;2024;new;3;7.5;33;37.5;33;37.5;5;5;10;Jovem;
2;A;0;0;C1;20;40;no tag;2024;new;8.5;0.5;28.5;40.5;28.5;40.5;5;5;5;Jovem;
2;A;0;0;C1;20;40;no tag;2024;new;3;1;23;41;23;41;5;5;5;Jovem;
2;A;0;0;C1;20;40;no tag;2024;new;5;7.5;25;47.5;25;47.5;5;5;5;Jovem;
2;A;0;0;C2;20;30;no tag;2024;new;4.5;3.5;24.5;33.5;24.5;33.5;5;5;5;Jovem;
2;A;0;0;C2;20;30;no tag;2024;new;0.5;4;20.5;34;20.5;34;5;5;5;Jovem;
2;A;0;0;C2;20;30;no tag;2024;new;5;7.5;25;37.5;25;37.5;5;5;5;Jovem;
2;A;0;0;C2;20;30;no tag;2024;new;9;7.5;29;37.5;29;37.5;5;5;5;Jovem;
2;A;0;0;C3;20;20;no tag;2024;new;4;3;24;23;24;23;5;5;5;Reprodutivo;
2;A;0;0;C3;20;20;no tag;2024;new;1;4.5;21;24.5;21;24.5;5;5;5;Jovem;
2;A;0;0;C3;20;20;no tag;2024;new;5;7;25;27;25;27;5;5;5;Jovem;
2;A;0;0;C3;20;20;no tag;2024;new;4.5;7;24.5;27;24.5;27;5;5;5;Jovem;
2;A;0;0;C3;20;20;no tag;2024;new;7;2;27;22;27;22;5;5;5;Jovem;
2;A;0;0;C3;20;20;no tag;2024;new;8;2;28;22;28;22;5;5;5;Jovem;
2;A;0;0;C4;20;10;no tag;2024;new;5.5;9;25.5;19;25.5;19;5;5;5;Jovem;
2;A;0;0;D1;10;40;no tag;2024;new;4;1;14;41;14;41;5;5;5;Jovem;
2;A;0;0;D1;10;40;no tag;2024;new;0.5;1;10.5;41;10.5;41;5;5;5;Jovem;
