Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;Col_data;status;X_10;Y_10;X_q;Y_q;X;Y;alt;dia_x;dia_y;diam;
1;A;0;0;D4;10;10;no tag;2022;immaturo_23 ;1;1;11;11;11;11;11.1;7.6;7.3;174.2072;
1;B;50;0;A5;40;40;no tag;2022;reprodutivo_23;0.5;7;40.5;47;90.5;47;17.9;5.6;8.5;149.464;
1;B;50;0;A5;40;40;no tag;2022;immaturo_23 ;4;5;44;45;94;45;12.6;5;5;78.5;
1;B;50;0;A5;40;40;no tag;2022;immaturo_23 ;4;5;44;45;94;45;8.2;10.2;20.5;656.574;
1;B;50;0;A5;40;40;2010;2022;reprodutivo_23;6;3;46;43;96;43;29.2;51.2;37.2;5980.5696;
1;B;50;0;B1;0;30;2006;2022;reprodutivo_23;6;4;6;34;56;34;45;43.1;36.9;4993.8246;
1;B;50;0;C2;10;20;no tag;2022;reprodutivo_23;3;7;13;27;63;27;18;6.7;5.5;115.709;
1;B;50;0;C2;10;20;no tag;2022;immaturo_23 ;5;7;15;27;65;27;18;7.1;6.7;149.3698;
1;B;50;0;C2;10;20;no tag;2022;immaturo_23 ;2;8;12;28;62;28;18;6.5;6.5;132.665;
1;B;50;0;C2;10;20;no tag;2022;immaturo_23 ;2;8;12;28;62;28;18;6.5;6.5;132.665;
1;B;50;0;D3;20;10;2003;2022;immaturo_23 ;4;10;24;20;74;20;20.4;26.5;19.9;1655.879;
1;B;50;0;D4;30;10;2000;2022;reprodutivo_23;6;4;36;14;86;14;25.6;21.4;35.9;2412.3364;
1;C;50;50;A3;0;20;no tag;2022;reprodutivo_23;3.5;7;3.5;27;53.5;77;7.7;5;5;78.5;
1;C;50;50;C1;20;0;2009;2022;reprodutivo_23;5;2.5;25;2.5;75;52.5;24.3;17.1;20;1073.88;
1;C;50;50;C2;20;10;no tag;2022;reprodutivo_23;3;9;23;19;73;69;27.4;27.2;37;3160.096;
1;B;50;0;E2;10;0;no tag;2023;immaturo_23 ;4;1.5;14;1.5;64;1.5;24.9;23.2;17.3;1260.2704;
1;B;50;0;D4;30;10;no tag;2023;immaturo_23 ;3;5.5;33;15.5;83;15.5;7.5;5;5;78.5;
1;D;50;50;E5;40;0;no tag;2023;immaturo_23 ;9.5;5;49.5;5;99.5;55;15;7.7;9;217.602;
2;A;0;0;A2;40;30;no tag;2022;reprodutivo_23;1.5;5.5;41.5;35.5;41.5;35.5;21.8;5;5;78.5;
2;A;0;0;A3;40;20;2030;2022;reprodutivo_23;9;9.5;49;29.5;49;29.5;37.4;27.8;24.6;2147.3832;
2;A;0;0;A3;40;20;no tag;2022;immaturo_23 ;4;4.5;44;24.5;44;24.5;17.6;5;5;78.5;
2;A;0;0;A3;40;20;no tag;2022;reprodutivo_23;3;8;43;28;43;28;32.7;15.1;10.5;497.847;
2;A;0;0;A4;40;10;2023;2022;reprodutivo_23;9;5;49;15;49;15;45.3;30.9;59.7;5792.4522;
2;A;0;0;A4;40;10;no tag;2022;immaturo_23 ;1;4;41;14;41;14;7.6;5;5;78.5;
2;A;0;0;A5;40;0;no tag;2022;immaturo_23 ;7;4.5;47;4.5;47;4.5;5.9;5;5;78.5;
2;A;0;0;A5;40;0;no tag;2022;reprodutivo_23;7;4.5;47;4.5;47;4.5;5.9;5;5;78.5;
2;A;0;0;B2;30;30;no tag;2022;reprodutivo_23;2.5;9;32.5;39;32.5;39;8.7;5;5;78.5;
2;A;0;0;B3;30;20;no tag;2022;immaturo_23 ;2.5;0.5;32.5;20.5;32.5;20.5;5;5;5;78.5;
2;A;0;0;B3;30;20;no tag;2022;immaturo_23 ;1.5;2;31.5;22;31.5;22;5;5;5;78.5;
2;A;0;0;B5;30;0;no tag;2022;immaturo_23 ;6;6.5;36;6.5;36;6.5;5;5;5;78.5;
2;A;0;0;B5;30;0;no tag;2022;immaturo_23 ;6;6.5;36;6.5;36;6.5;5;5;5;78.5;
2;A;0;0;B5;30;0;no tag;2022;immaturo_23 ;6;6.5;36;6.5;36;6.5;5;5;5;78.5;
2;A;0;0;B5;30;0;no tag;2022;immaturo_23 ;6;6.5;36;6.5;36;6.5;10.6;5;5;78.5;
2;A;0;0;C4;20;10;no tag;2022;immaturo_23 ;3.5;5;23.5;15;23.5;15;5;5;5;78.5;
2;A;0;0;C5;20;0;no tag;2022;immaturo_23 ;4.5;6;24.5;6;24.5;6;5;5;5;78.5;
2;A;0;0;D1;10;40;no tag;2022;reprodutivo_23;2;8;12;48;12;48;8.7;5;5;78.5;
2;A;0;0;D3;10;20;no tag;2022;immaturo_23 ;0.5;2;10.5;22;10.5;22;7.3;5;5;78.5;
2;A;0;0;D3;10;20;no tag;2022;immaturo_23 ;0.5;2;10.5;22;10.5;22;1.3;5;5;78.5;
2;A;0;0;E1;0;40;2029;2022;reprodutivo_23;10;4;10;44;10;44;36.4;23.2;28.3;2061.5984;
2;A;0;0;E1;0;40;no tag;2022;reprodutivo_23;6;8;6;48;6;48;11.1;7.8;7.4;181.2408;
2;A;0;0;E1;0;40;no tag;2022;reprodutivo_23;5;6.5;5;46.5;5;46.5;9.7;7.4;6.5;151.034;
2;A;0;0;E1;0;40;no tag;2022;reprodutivo_23;1.5;5.5;1.5;45.5;1.5;45.5;24.2;20.3;15.2;968.8784;
2;A;0;0;A2;40;30;no tag;2023;reprodutivo_23;6.5;8;46.5;38;46.5;38;17.7;5.8;5.5;100.166;
2;A;0;0;A4;40;10;no tag;2023;immaturo_23 ;1;4;41;14;41;14;7.6;5;5;78.5;
2;A;0;0;A4;40;10;no tag;2023;immaturo_23 ;3;5.5;43;15.5;43;15.5;5;5;5;78.5;
2;A;0;0;A5;40;0;no tag;2023;immaturo_23 ;5;8.5;45;8.5;45;8.5;5;5;5;78.5;
2;A;0;0;B2;30;30;no tag;2023;immaturo_23 ;2.5;5;32.5;35;32.5;35;10;5;5;78.5;
2;A;0;0;B2;30;30;no tag;2023;immaturo_23 ;3;5;33;35;33;35;10;5;5;78.5;
2;A;0;0;B2;30;30;no tag;2023;immaturo_23 ;2;6.5;32;36.5;32;36.5;11.4;5;5;78.5;
2;A;0;0;B3;30;20;no tag;2023;immaturo_23 ;0.5;6;30.5;26;30.5;26;5.1;5;5;78.5;
2;A;0;0;B3;30;20;no tag;2023;reprodutivo_23;4.5;3;34.5;23;34.5;23;5;5;55;863.5;
2;A;0;0;B5;30;0;no tag;2023;immaturo_23 ;6;6;36;6;36;6;5;5;5;78.5;
2;A;0;0;B5;30;0;no tag;2023;reprodutivo_23;9;8;39;8;39;8;16.9;6.2;5;97.34;
2;A;0;0;B5;30;0;no tag;2023;reprodutivo_23;9.5;6.5;39.5;6.5;39.5;6.5;10.8;5.5;5.5;94.985;
2;A;0;0;B5;30;0;no tag;2023;immaturo_23 ;4.5;8;34.5;8;34.5;8;5;5;5;78.5;
2;A;0;0;B5;30;0;no tag;2023;immaturo_23 ;3;3;33;3;33;3;5;5;55;863.5;
2;A;0;0;B5;30;0;no tag;2023;immaturo_23 ;3;3;33;3;33;3;5;5;5;78.5;
2;A;0;0;C1;20;40;no tag;2023;reprodutivo_23;8.5;2;28.5;42;28.5;42;12.7;5;5;78.5;
2;A;0;0;C1;20;40;no tag;2023;immaturo_23 ;5;3;25;43;25;43;5;5;5;78.5;
2;A;0;0;C1;20;40;no tag;2023;reprodutivo_23;4;3.5;24;43.5;24;43.5;10.2;5.9;5.5;101.893;
