plot;stage;stage2;diam;fate;fate2;X_10;Y_10
1;3;reprod;5.6;2;immature;0.5;7
1;3;reprod;51.2;0;dead;6;3
1;3;reprod;43.1;0;dead;6;4
1;3;reprod;6.7;2;immature;3;7
1;3;reprod;21.4;0;dead;6;4
1;3;reprod;5;0;dead;3.5;7
1;3;reprod;17.1;0;dead;5;2.5
1;3;reprod;27.2;0;dead;3;9
2;3;reprod;5;0;dead;1.5;5.5
2;3;reprod;5.8;3;Reprodutivo;6.5;8
2;3;reprod;27.8;0;dead;9;9.5
2;3;reprod;15.1;0;dead;3;8
2;3;reprod;30.9;0;dead;9;5
2;3;reprod;5;0;dead;7;4.5
2;3;reprod;5;0;dead;2.5;9
2;3;reprod;5;0;dead;4.5;3
2;3;reprod;6.2;0;dead;9;8
2;3;reprod;5.5;2;immature;9.5;6.5
2;3;reprod;5;0;dead;8.5;2
2;3;reprod;5.9;0;dead;4;3.5
2;3;reprod;5;0;dead;0.5;4.5
2;3;reprod;5;0;dead;5;4
2;3;reprod;5;0;dead;7.5;8.5
2;3;reprod;5;0;dead;2;8
2;3;reprod;5.5;0;dead;6.5;3
2;3;reprod;7.2;0;dead;6;2
2;3;reprod;23.2;0;dead;10;4
2;3;reprod;7.8;0;dead;6;8
2;3;reprod;7.4;3;Reprodutivo;5;6.5
2;3;reprod;20.3;0;dead;1.5;5.5
2;3;reprod;7.5;0;dead;5;6
2;3;reprod;5.5;0;dead;4;7
2;3;reprod;6.1;0;dead;9.5;8.5
2;3;reprod;6.1;2;immature;9.5;8.5
2;3;reprod;5;0;dead;8;3.5
2;3;reprod;5;0;dead;8;4.5
2;3;reprod;6.9;0;dead;1;8
2;3;reprod;6.9;0;dead;1;8
2;3;reprod;5;0;dead;2.5;9.5
2;3;reprod;5;0;dead;3.5;9.5
2;3;reprod;6.8;0;dead;6;5
2;3;reprod;6.6;0;dead;6;5
2;3;reprod;5.5;0;dead;5.5;4.5
2;3;reprod;6;0;dead;6;7
2;3;reprod;5;0;dead;7;7
2;3;reprod;5.5;3;Reprodutivo;9;8
2;3;reprod;5;2;immature;7.5;9
2;3;reprod;5;2;immature;7.5;9
2;3;reprod;5;2;immature;7.5;9
2;3;reprod;5;2;immature;7.5;9
2;3;reprod;7.6;0;dead;0.5;4.5
2;3;reprod;25.11;3;Reprodutivo;6.5;5.5
2;3;reprod;5.5;0;dead;3;9.5
2;3;reprod;23;0;dead;8;2
2;3;reprod;5.8;0;dead;7.5;6.5
2;3;reprod;5.8;0;dead;7.5;6.5
2;3;reprod;5;0;dead;4.5;7.1
2;3;reprod;23.8;0;dead;6.5;3
2;3;reprod;41.4;3;Reprodutivo;5;7
2;3;reprod;5;0;dead;2;1
2;3;reprod;39.6;0;dead;7;10
2;3;reprod;11.8;3;Reprodutivo;7;6.5
2;3;reprod;5;0;dead;7.5;6
2;3;reprod;5;2;immature;6;2
2;3;reprod;5;0;dead;6;1.5
2;3;reprod;5;2;immature;5;6
2;3;reprod;5.5;0;dead;1;3
2;3;reprod;5.4;0;dead;7.5;3.5
2;3;reprod;5;0;dead;1;3
2;3;reprod;11.3;0;dead;6.5;8
2;3;reprod;7;0;dead;7;6.5
2;3;reprod;5;0;dead;8;4
2;3;reprod;5.5;2;immature;5;5
2;3;reprod;5.2;2;immature;2;3
2;3;reprod;5;0;dead;8;4
2;3;reprod;7;0;dead;8;2
2;3;reprod;5;0;dead;8;2
2;3;reprod;7.8;0;dead;1;8.5
2;3;reprod;5.1;0;dead;7;6.5
2;3;reprod;5.9;0;dead;9;8
2;3;reprod;7.2;0;dead;1.5;8
2;3;reprod;5;0;dead;9;4
2;3;reprod;5.8;0;dead;9;6
2;3;reprod;8.1;0;dead;10;8
2;3;reprod;17.9;0;dead;5;7
2;3;reprod;28;0;dead;10;9
2;3;reprod;5;0;dead;2.5;3.5
2;3;reprod;5;0;dead;4;3
2;3;reprod;29;0;dead;8;4
2;3;reprod;5;0;dead;6.5;1
2;3;reprod;19.1;3;Reprodutivo;6.5;7.5
2;3;reprod;5;0;dead;7;5
2;3;reprod;5;0;dead;5.5;5
2;3;reprod;5.5;0;dead;2;0.5
2;3;reprod;5.7;0;dead;3;0.5
2;3;reprod;5.5;0;dead;3.5;0.5
2;3;reprod;5.5;0;dead;8;2
2;3;reprod;5;0;dead;8.5;5
2;3;reprod;5;0;dead;0.5;3
2;3;reprod;5;0;dead;0.5;3
2;3;reprod;34.9;0;dead;0.5;4
3;3;reprod;11.5;0;dead;1;5
3;3;reprod;98.1;0;dead;7;1.5
3;3;reprod;5;2;immature;1.5;3.5
3;3;reprod;5;0;dead;2;5
3;3;reprod;28.4;0;dead;4.5;2
3;3;reprod;5;0;dead;7.5;5
3;3;reprod;6.6;0;dead;8;5
3;3;reprod;5;0;dead;8.5;5.5
3;3;reprod;6.2;2;immature;10;8
4;3;reprod;19.9;2;immature;7.5;8.5
4;3;reprod;18.1;0;dead;8;0.5
4;3;reprod;36.9;0;dead;4.5;3
4;3;reprod;23.5;2;immature;4.5;9
4;3;reprod;8.6;2;immature;4;8
4;3;reprod;37.2;0;dead;5;5
4;3;reprod;41.8;0;dead;10;9
4;3;reprod;37.6;0;dead;6.5;7
4;3;reprod;112.4;0;dead;5;7.5
4;3;reprod;40.1;0;dead;0;3
4;3;reprod;7.1;0;dead;4.5;2
4;3;reprod;5;0;dead;4.5;2
4;3;reprod;5;0;dead;9;7.5
4;3;reprod;32.4;0;dead;8;5
5;3;reprod;35.5;3;Reprodutivo;8;4
5;3;reprod;5;0;dead;5.5;2
5;3;reprod;9.7;0;dead;2;2.5
5;3;reprod;65.7;3;Reprodutivo;6;0.5
5;3;reprod;62;0;dead;2;5
5;3;reprod;5;0;dead;9.5;2.5
5;3;reprod;11.1;0;dead;2;8.5
5;3;reprod;37;3;Reprodutivo;8;1
5;3;reprod;10.1;0;dead;4;5
5;3;reprod;11.1;0;dead;1;7
5;3;reprod;23.3;3;Reprodutivo;6;0.5
5;3;reprod;7.1;3;Reprodutivo;9;8
5;3;reprod;7.1;0;dead;9;8
5;3;reprod;7.1;0;dead;9;8
5;3;reprod;7.1;0;dead;9;8
5;3;reprod;7.1;0;dead;9;8
5;3;reprod;7.1;0;dead;9;8
5;3;reprod;7;0;dead;7;8
5;3;reprod;5;0;dead;7;3.5
5;3;reprod;5;2;immature;9;6
5;3;reprod;5;3;Reprodutivo;8;8
5;3;reprod;17.5;0;dead;8;1
5;3;reprod;5;0;dead;6.5;4.5
5;3;reprod;14;0;dead;9;2
5;3;reprod;13.6;0;dead;9;9
5;3;reprod;66.8;3;Reprodutivo;6.5;5.5
5;3;reprod;12.7;0;dead;2.5;6
5;3;reprod;6.8;0;dead;4;1
5;3;reprod;5.8;0;dead;5.5;5
5;3;reprod;5;0;dead;7.5;8
5;3;reprod;5;0;dead;7.5;8
5;3;reprod;7.3;0;dead;3;4.5
5;3;reprod;5;0;dead;10;3
5;3;reprod;5;0;dead;10;3.5
5;3;reprod;5;0;dead;1.5;3
5;3;reprod;5;2;immature;1.5;3
5;3;reprod;21.7;3;Reprodutivo;5.5;2
5;3;reprod;16.3;3;Reprodutivo;6;6.5
5;3;reprod;5;0;dead;4;1.5
6;3;reprod;20.7;0;dead;4;6
6;3;reprod;22.7;0;dead;8.5;4
6;3;reprod;44.2;0;dead;5;10
6;3;reprod;16.2;0;dead;10;3
6;3;reprod;53.2;0;dead;7;8.5
6;3;reprod;32.4;0;dead;1.5;4.5
6;3;reprod;5;0;dead;4;4
6;3;reprod;5;0;dead;4;4
7;3;reprod;16.9;0;dead;2;3.5
7;3;reprod;24.4;3;Reprodutivo;3.5;8.5
7;3;reprod;28.3;0;dead;7;3
7;3;reprod;33.75;0;dead;7.5;6
7;3;reprod;18.5;0;dead;6;8
7;3;reprod;24.7;0;dead;4.5;8.5
7;3;reprod;10.2;0;dead;2.5;2.5
7;3;reprod;24.1;0;dead;1;9.5
7;3;reprod;46.02;0;dead;0;8
7;3;reprod;12.8;0;dead;0;4.5
7;3;reprod;22.3;0;dead;3;3
7;3;reprod;45.4;3;Reprodutivo;5;0
7;3;reprod;13.2;0;dead;0.5;5
8;3;reprod;63.4;0;dead;7;0.5
8;3;reprod;64.4;0;dead;10;0.5
8;3;reprod;108.6;0;dead;5.5;7.5
8;3;reprod;96.1;0;dead;10;7
8;3;reprod;15.6;0;dead;9;6
9;3;reprod;5;0;dead;6.5;3
9;3;reprod;5;0;dead;1.5;1.5
9;3;reprod;33.17;3;Reprodutivo;7.5;4.5
9;3;reprod;5;0;dead;2;5
9;3;reprod;15;3;Reprodutivo;3;5
9;3;reprod;30.1;0;dead;2;2.5
9;3;reprod;30.2;2;immature;2.5;4.5
9;3;reprod;68.3;0;dead;9.5;0.5
9;3;reprod;21.8;3;Reprodutivo;1.5;4
9;3;reprod;53.7;3;Reprodutivo;10;6
9;3;reprod;29.6;0;dead;4;4
9;3;reprod;19;0;dead;8;6.5
9;3;reprod;12.3;0;dead;4;2
9;3;reprod;33.7;3;Reprodutivo;5.5;10
9;3;reprod;31.6;3;Reprodutivo;4;4.5
9;3;reprod;40.9;3;Reprodutivo;5;1
9;3;reprod;39.7;3;Reprodutivo;8;6.5
9;3;reprod;39.1;0;dead;1;9.5
