"","Plot","Quad","Q_Yellow","TAG","1stYear","Status0","X_10","Y_10","alt0","dia_x0","dia_y0","alt","dia_x","dia_y","Status","ObsNEXT","Obs0","size","size_next","repro","survival","id"
"1","1","A","D4","no tag",2023,"Jovem",2,9,11.1,7.6,7.3,24,14,9,NA,"Anteriormente registrado como x=1 e y=1","Menor classe de diametro = 5mm",7.45,11.5,0,0,1
"2","1","B","A5","no tag",2023,"Reprodutivo",0.5,7,17.9,5.6,8.5,17,5,8,NA,"Status não registrado. Provavelmente jovem","Todas medidas de tamanhho em mm",7.05,6.5,1,0,2
"3","1","B","A5","no tag",2023,"Jovem",4,5,12.6,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,3
"4","1","B","A5","no tag",2023,"Jovem",4,5,8.2,10.2,20.5,NA,NA,NA,"Morreu",NA,NA,15.35,NA,0,0,4
"5","1","B","A5","2010",2022,"Reprodutivo",6,3,29.2,51.2,37.2,24,15,23,"Morreu",NA,NA,44.2,19,1,0,5
"6","1","B","B1","2006",2022,"Reprodutivo",6,4,45,43.1,36.9,43,32,26,"Morreu",NA,NA,40,29,1,0,6
"7","1","B","C2","no tag",2023,"Reprodutivo",3,7,18,6.7,5.5,17,7,6,"Jovem",NA,NA,6.1,6.5,1,1,7
"8","1","B","C2","no tag",2023,"Jovem",5,7,18,7.1,6.7,16,5,5,"Morreu",NA,NA,6.9,5,0,0,8
"9","1","B","C2","no tag",2023,"Jovem",2,8,18,6.5,6.5,NA,NA,NA,"Morreu",NA,NA,6.5,NA,0,0,9
"10","1","B","C2","no tag",2023,"Jovem",2,8,18,6.5,6.5,5,5,5,"Jovem",NA,NA,6.5,5,0,1,10
"11","1","B","D3","2003",2022,"Jovem",4,10,20.4,26.5,19.9,NA,NA,NA,"Morreu","Tirou tag",NA,23.2,NA,0,0,11
"12","1","B","D4","2000",2022,"Reprodutivo",6,4,25.6,21.4,35.9,NA,NA,NA,"Morreu","Tirou tag",NA,28.65,NA,1,0,12
"13","1","C","A3","no tag",2022,"Reprodutivo",3.5,7,7.7,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,13
