"","Period","Site","Plot","Tag","New_Tag","Sexo","Sexo_t0","Sexo_t1","Height_t0","Height_t1","DAS_t0","DAS_t1","Estg_Rep_t0","Estg_Rep_t1","surv","rep"
"1","2022_2024","N1","P1","314","314","Indeterminado","Indeterminado","Indeterminado",25,28,2.95,3.5,"Vegetativo","Vegetativo",1,0
"2","2022_2024","N1","P1","315","315","Masculina","Indeterminado","Masculina",48,50,3.3,3.5,"Vegetativo","flor",1,0
"3","2022_2024","N1","P1","316","316","Masculina","Masculina","Masculina",34,34,2.8,2,"Vegetativo","flor",1,0
"4","2022_2024","N1","P1","317","317","Masculina","Masculina","Masculina",198,220,17,16.5,"Botao","flor",1,1
"5","2022_2024","N1","P1","318","318","Indeterminado","Indeterminado",NA,23,NA,12.05,NA,"Vegetativo",NA,0,0
"6","2022_2024","N1","P1","319","319","Masculina","Indeterminado","Masculina",33,39.5,4.1,4.5,"Botao","flor",1,1
"7","2022_2024","N1","P1","320","320","Indeterminado","Indeterminado","Indeterminado",59,60,5.6,4.5,"Botao","Botao",1,1
"8","2022_2024","N1","P1","321","321","Masculina","Indeterminado","Masculina",88,89.5,5.45,4,"Botao","flor",1,1
"9","2022_2024","N1","P1","322","322","Indeterminado","Indeterminado","Indeterminado",38,37,4.6,4.5,"Vegetativo","botao",1,0
"10","2022_2024","N1","P1","323","323","Indeterminado","Indeterminado","Indeterminado",30,27,4.3,3,"Vegetativo","Vegetativo",1,0
"11","2022_2024","N1","P1","324","324","Masculina","Masculina","Masculina",87,85,6.75,6.5,"Botao","Botao",1,1
"12","2022_2024","N1","P1","325","325","Indeterminado","Indeterminado","Indeterminado",37,38,5.15,3,"Botao","Vegetativo",1,1
"13","2022_2024","N1","P1","326","326","Masculina","Indeterminado","Masculina",28,28,6.5,3,"Vegetativo","flor",1,0
"14","2022_2024","N1","P1","327","327","Indeterminado","Indeterminado","Indeterminado",12,6,1,1,"Vegetativo","Vegetativo",1,0
"15","2022_2024","N1","P1","328","328","Indeterminado","Indeterminado",NA,14,NA,2.15,NA,"Vegetativo",NA,0,0
"16","2022_2024","N1","P1","600","600","Indeterminado","Indeterminado",NA,16,NA,1,NA,"Vegetativo",NA,0,0
"17","2022_2024","N1","Ext. P1","303","303","Indeterminado","Indeterminado","Indeterminado",25,27,2.05,2.5,"Vegetativo","Vegetativo",1,0
"18","2022_2024","N1","Ext. P1","304","304","Feminina","Feminina","Feminina",104,105,7.35,8,"Botao","flor",1,1
"19","2022_2024","N1","Ext. P1","356","356","Indeterminado","Indeterminado","Indeterminado",16,18,1.25,1,"Vegetativo","Vegetativo",1,0
"20","2022_2024","N1","Ext. P1","357","357","Masculina","Masculina","Masculina",199,208,12.15,11,"Botao","flor",1,1
"21","2022_2024","N1","Ext. P1","358","358","Feminina","Feminina","Feminina",223,458,19.5,18.5,"Vegetativo","flor",1,0
"22","2022_2024","N1","Ext. P1","359","359","Indeterminado","Indeterminado","Indeterminado",34,39,8.85,2,"Vegetativo","Vegetativo",1,0
