id;size_h;sizer;size;reprod;size_nexth;size_nextr;size_next;survival;site;interval;;;;;
147;57.5;3;172.5;1;57;1;57;1;torre;1;;;;;
149;71;6;426;1;77;6;462;1;torre;1;;;;;
173;72;15;1080;1;78;12;936;1;torre;1;;;;;
153;86;17;1462;1;89;12;1068;1;torre;1;;;;;
154;63;2;126;0;36;3;108;1;torre;1;;;;;
152;126;12;1512;1;131;17;2227;1;torre;1;;;;;
156;115;4;460;1;85;4;340;1;torre;1;;;;;
158;38;3;114;0;43;8;344;1;torre;1;;;;;
151;107;7;749;1;105;8;840;1;torre;1;;;;;
159;23;1;23;0;17;2;34;1;torre;1;;;;;
162;45;4;180;0;48;5;240;1;torre;1;;;;;
165;96;12;1152;1;110;10;1100;1;torre;1;;;;;
163;74;11;814;1;69;19;1311;1;torre;1;;;;;
169;101;7;707;0;96;6;576;1;torre;1;;;;;
171;142;17;2414;1;164;21;3444;1;torre;1;;;;;
174;85;11;935;1;90;11;990;1;torre;1;;;;;
168;64;3;192;0;57;5;285;1;torre;1;;;;;
167;162;23;3726;1;175;20;3500;1;torre;1;;;;;
170;57;1;57;0;40;3;120;1;torre;1;;;;;
166;41;2;82;0;45;3;135;1;torre;1;;;;;
160;6;1;6;0;3;1;3;1;torre;1;;;;;
157;221;6;1326;1;90;11;990;1;torre;1;;;;;
518;8;1;8;0;5;1;5;1;torre;1;;;;;
150;64;2;128;1;45;1;45;1;torre;1;;;;;
164;13;1;13;0;75;5;375;1;torre;1;;;;;
155;44;2;88;0;40;3;120;1;torre;1;;;;;
161;24;3;72;0;30;2;60;1;torre;1;;;;;
517;6;1;6;0;3;2;6;1;torre;1;;;;;
148;82;3;246;0;14;1;14;1;torre;1;;;;;
190;69;3;207;0;68;5;340;1;torre;1;;;;;
187;144;11;1584;1;164;14;2296;1;torre;1;;;;;
185;19;1;19;0;19;2;38;1;torre;1;;;;;
186;80;5;400;0;49;10;490;1;torre;1;;;;;
192;144;10;1440;1;;;0;0;torre;1;;;;;
188;205;15;3075;1;246;14;3444;1;torre;1;;;;;
193;121;9;1089;1;164;14;2296;1;torre;1;;;;;
191;105;12;1260;0;201;10;2010;1;torre;1;;;;;
196;10;1;10;0;;;0;0;torre;1;;;;;
525;5;1;5;0;7;1;7;1;torre;1;;;;;
194;52;1;52;0;63;2;126;1;torre;1;;;;;
195;145;2;290;1;110;3;330;1;torre;1;;;;;
198;117;14;1638;1;109;16;1744;1;torre;1;;;;;
189;172;12;2064;1;136;11;1496;1;torre;1;;;;;
199;7;1;7;0;5;2;10;1;torre;1;;;;;
172;264;5;1320;1;163;7;1141;1;torre;1;;;;;
181;13;2;26;0;17;1;17;1;torre;1;;;;;
177;114;2;228;1;155;2;310;1;torre;1;;;;;
175;94;4;376;0;102;7;714;1;torre;1;;;;;
182;59;2;118;1;44;2;88;1;torre;1;;;;;
184;130;6;780;1;130;5;650;1;torre;1;;;;;
183;110;17;1870;1;108;20;2160;1;torre;1;;;;;
176;12;1;12;0;;;0;0;torre;1;;;;;
178;112;10;1120;1;104;11;1144;1;torre;1;;;;;
180;124;5;620;1;115;7;805;1;torre;1;;;;;
179;30;2;60;0;25;3;75;1;torre;1;;;;;
197;30;2;60;0;10;2;20;1;torre;1;;;;;
204;87.5;5;437.5;0;54;5;270;1;torre;1;;;;;
200;136;17;2312;1;117;30;3510;1;torre;1;;;;;
212;80;11;880;1;48;9;432;1;torre;1;;;;;
220;155;9;1395;1;133;13;1729;1;torre;1;;;;;
201;81;3;243;0;73;3;219;1;torre;1;;;;;
202;130;34;4420;1;125;37;4625;1;torre;1;;;;;
203;51;4;204;0;38;4;152;1;torre;1;;;;;
205;12;1;12;0;14;1;14;1;torre;1;;;;;
210;16;5;80;0;14;8;112;1;torre;1;;;;;
209;200;36;7200;1;195;33;6435;1;torre;1;;;;;
206;156;19;2964;1;221;15;3315;1;torre;1;;;;;
2276824;4.5;1;4.5;0;;;0;0;torre;1;;;;;
2276825;7;1;7;0;;;0;0;torre;1;;;;;
211;8;1;8;0;;;0;0;torre;1;;;;;
218;35;3;105;1;18;1;18;1;torre;1;;;;;
207;138;16;2208;1;146;19;2774;1;torre;1;;;;;
213;34;4;136;0;;;0;0;torre;1;;;;;
216;28;2;56;0;;;0;0;torre;1;;;;;
208;133;16;2128;1;110;16;1760;1;torre;1;;;;;
217;159;4;636;1;176;5;880;1;torre;1;;;;;
219;5;1;5;0;;;0;0;torre;1;;;;;
215;50;2;100;0;43;4;172;1;torre;1;;;;;
214;118;6;708;1;95;11;1045;1;torre;1;;;;;
222;6;1;6;0;8;1;8;1;torre;1;;;;;
224;8;1;8;0;5;1;5;1;torre;1;;;;;
233;82;10;820;0;87;8;696;1;torre;1;;;;;
535;18;2;36;0;42;2;84;1;torre;1;;;;;
234;114;8;912;0;170;7;1190;1;torre;1;;;;;
242;30;6;180;0;38;6;228;1;torre;1;;;;;
241;114;7;798;1;133;16;2128;1;torre;1;;;;;
238;225;48;10800;1;285;48;13680;1;torre;1;;;;;
240;95;19;1805;1;82;17;1394;1;torre;1;;;;;
237;126;10;1260;1;125;15;1875;1;torre;1;;;;;
236;115;6;690;1;95;9;855;1;torre;1;;;;;
235;178;32;5696;1;236;40;9440;1;torre;1;;;;;
536;5;1;5;0;9;1;9;1;torre;1;;;;;
239;24;2;48;0;35;1;35;1;torre;1;;;;;
228;93;14;1302;1;138;20;2760;1;torre;1;;;;;
225;57;2;114;1;50;3;150;1;torre;1;;;;;
227;89;6;534;1;77;9;693;1;torre;1;;;;;
232;91;8;728;1;86;8;688;1;torre;1;;;;;
226;121;31;3751;1;88;49;4312;1;torre;1;;;;;
230;178;21;3738;1;93;35;3255;1;torre;1;;;;;
231;171;28;4788;1;138;29;4002;1;torre;1;;;;;
229;68.5;8;548;1;45;8;360;1;torre;1;;;;;
247;110;17;1870;1;97;20;1940;1;torre;1;;;;;
248;101;30;3030;1;75;39;2925;1;torre;1;;;;;
250;92;13;1196;1;83;16;1328;1;torre;1;;;;;
252;82;12;984;1;94;11;1034;1;torre;1;;;;;
253;90;17;1530;1;86;13;1118;1;torre;1;;;;;
254;151;19;2869;1;151;18;2718;1;torre;1;;;;;
251;94;12;1128;1;80;25;2000;1;torre;1;;;;;
262;107;13;1391;1;158;17;2686;1;torre;1;;;;;
261;157;27;4239;1;198;40;7920;1;torre;1;;;;;
264;99;11;1089;1;174;6;1044;1;torre;1;;;;;
263;141;8;1128;1;157;14;2198;1;torre;1;;;;;
259;88;5;440;1;96;4;384;1;torre;1;;;;;
260;132;12;1584;1;272;13;3536;1;torre;1;;;;;
255;83;8;664;1;41;9;369;1;torre;1;;;;;
256;119;12;1428;1;119;11;1309;1;torre;1;;;;;
258;64;6;384;1;76;7;532;1;torre;1;;;;;
245;137;19;2603;1;332;29;9628;1;torre;1;;;;;
246;98;14;1372;1;186;17;3162;1;torre;1;;;;;
528;;;0;;6;1;6;;torre;1;;;;;
529;;;0;;9;1;9;;torre;1;;;;;
530;;;0;;8;1;8;;torre;1;;;;;
531;;;0;;6;1;6;;torre;1;;;;;
533;;;0;;5;1;5;;torre;1;;;;;
541;;;0;;5;1;5;;torre;1;;;;;
542;;;0;;2;1;2;;torre;1;;;;;
543;;;0;;5;1;5;;torre;1;;;;;
548;;;0;;4;1;4;;torre;1;;;;;
549;;;0;;2;1;2;;torre;1;;;;;
524;;;0;;4;1;4;;torre;1;;;;;
526;;;0;;2;1;2;;torre;1;;;;;
527;;;0;;5;1;5;;torre;1;;;;;
550;;;0;;4;1;4;;torre;1;;;;;
523;;;0;;4;1;4;;torre;1;;;;;
571;;;0;;5;1;5;;torre;1;;;;;
8;79.5;2;159;1;73;3;219;1;lajedo;1;;;;;
9;168;6;1008;1;90;9;810;1;lajedo;1;;;;;
4;37;2;74;0;41;4;164;1;lajedo;1;;;;;
2330004;3;1;3;0;;;0;0;lajedo;1;;;;;
6;51;2;102;0;41;2;82;1;lajedo;1;;;;;
5;131.5;8;1052;1;109;14;1526;1;lajedo;1;;;;;
7;17;1;17;0;;;0;0;lajedo;1;;;;;
482;10;1;10;0;5;1;5;1;lajedo;1;;;;;
2;10.5;1;10.5;0;;;0;0;lajedo;1;;;;;
3;58;5;290;1;55;5;275;1;lajedo;1;;;;;
1;17;2;34;0;22;3;66;1;lajedo;1;;;;;
26;29;2;58;0;21;2;42;1;lajedo;1;;;;;
481;7;1;7;0;7;1;7;1;lajedo;1;;;;;
2330014;4.5;1;4.5;0;;;0;0;lajedo;1;;;;;
480;4.5;1;4.5;0;7;1;7;1;lajedo;1;;;;;
2330016;4;1;4;0;;;0;0;lajedo;1;;;;;
27;61.5;12;738;0;59;25;1475;1;lajedo;1;;;;;
24;68.5;8;548;1;52;12;624;1;lajedo;1;;;;;
23;25;1;25;0;19;2;38;1;lajedo;1;;;;;
22;33;2;66;0;39;2;78;1;lajedo;1;;;;;
25;16;1;16;0;0;0;0;0;lajedo;1;;;;;
20;36;2;72;0;19;7;133;1;lajedo;1;;;;;
19;16;1;16;0;5;1;5;1;lajedo;1;;;;;
21;26;1;26;0;21;1;21;1;lajedo;1;;;;;
2330025;9;1;9;0;0;0;0;0;lajedo;1;;;;;
17;11.5;1;11.5;0;8;2;16;1;lajedo;1;;;;;
16;92;2;184;1;144;4;576;1;lajedo;1;;;;;
18;23;2;46;0;14;2;28;1;lajedo;1;;;;;
14;17;1;17;0;19;1;19;1;lajedo;1;;;;;
13;28.5;2;57;0;35;2;70;1;lajedo;1;;;;;
15;13;2;26;0;7;1;7;1;lajedo;1;;;;;
547;27;4;108;0;4;1;4;1;lajedo;1;;;;;
